ro,en
a se ruga,to pray
congres de circuit,circuit assembly
Împărăția lui Dumnezeu,God's Kingdom
Martorii lui Iehova,Jehovah's Witnesses
Martorul lui Iehova,Jehovah's Witness
slujitor de slujire,ministerial servant
slujitori de slujire,ministerial servants
supraveghetor de circuit,circuit overseer
asistență totală,total attendance
Cartea Bucuriei,The Book of Joy
cei buni,the good
cei drepți,the righteous
cei răi,the wicked
congres regional,regional convention
congres special,special convention
congrese speciale,special conventions
duh sfânt,holy spirit
Duhul Sfânt,holy spirit
familie creștină,Christian family
Isus Cristos,Jesus Christ
nume noi,new names
nume nou,new name
Sala regatului,Kingdom Hall
Sala Regatului,Kingdom Hall
aanaliz,analysis
abiblia,the bible
acare,switchman
acatele,these
acceseaz,Accesses
aciune,actions
aciunea,action
aciuni,actions
adeiehova,yes, Jehovah
adunare,congregation
aface,business
afaci,aphakic
aguverneze,govern
aiputea,could
ajuta,help
ajutas,helper
ajutor,help
alege,choose
alevorbe,talk
altora,OTHERS
amdecizii,my decisions
amerit,America
aminte,memory
amintea,Reminiscing
amoar,love
analiza,analysis
analizeaz,analyzes
anebucur,happy birthday
antul,ANNOUNCEMENT
aparticip,participant
apentru,aTo
aplic,apply
aprob,approval
aprofe,teach
aprofundeaz,deepens
apublica,public
arbat,lawn
areac,area
arului,softeners
arziu,burning
ascult,listen
ascut,sharpened
asemenea,also
asist,assist
asperan,asperant
aspunde,hide
aspunsuri,answers
aspunsurila,answers
aspus,sharp
ateajute,help
ateasc,atheist
atebotezi,baptize
atoarea,all
atoas,stringy
atoase,all
atuit,trump card
atuncic,then
autorit,authorities
avorbe,avoir
Avraam,Abraham
azboi,asbestos
bătrân,elder
bătrâni,elders
Betei,Bethel
Betel,Bethel
biblia,biblically
bibliaafirm,the bible affirms
biblic,biblical
biblice,Bible
biblie,Bible
botez,baptism
boteza,to baptize
bucur,joy
bucurie,joy
bunătate,kindness
calit,hardened
carenu,who doesn't
ceartrebuis,I had to argue.
ceauf,oh my
ceciti,blind
cefoloase,useless
cetevaajutas,some help
chiar,even
circuit,circuit
citirea,reading
Coloseni,Colossians
congregație,congregation
congregației,congregation
congregații,congregations
congregațiile,congregations
congres,convention
congrese,conventions
continu,continue
continua,continue
copii,children
credință,faith
crezic,creed
Cristos,Christ
cualtecuvinte,what words
cumanume,same name
cumar,gambling
cumarfi,buy
cumle,cum
cumneajut,good-bye
datorit,thanks
David,David
deaceea,therefore
deaseme,also
deasemenea,also
decenu,decade
deces,death
decizii,decisions
defapt,actually
deoarece,because
devia,depart
dimpotriv,contrary
discuta,discuss
Dumnezeu,God
dumnezeui,godhead
dumnezeuva,goddess
Efeseni,Ephesians
eviden,Evidence
exemplu,example
explic,explain
Ezechiel,Ezekiel
familie,family
fericit,happy
Filipeni,Philippians
folose,uses
frați,brothers
fraților,brothers
Iacov,Jacob
iaduce,bring
iehova,Jehovah
iehovaa,Jehovah
iehovai,Jehovah
iehoval,Jehovah
iehovane,Jehovah's Witnesses
Ieremia,Jeremiah
Împărăția,Kingdom
incepes,started
indiferentc,indifferent
inprezent,at present
înțelepciune,wisdom
intreba,ask
intruc,because
Ioan,John
Isaia,Isaiah
Isus,Jesus
iubire,love
iubirea,love
Luca,Luke
mântuire,salvation
Marcu,Mark
Matei,Matthew
Moise,Moses
mondial,world
nezeu,god
niciodat,ever
oamenii,people
obiectiv,objective
opersoan,person
opozi,opposition
organiza,organize
parteai,part
pecare,which
pentruc,because
perfec,perfecting
persecu,persecution
poate,maybe
predic,preach
predicare,preaching
predicarea,the preaching
predicat,preached
predicator,preacher
prezint,SUBMIT
prietenii,friends
prinurmare,consequently
probabil,probable
Psalmul,Psalm
publica,publicly
răscumpărare,ransom
recapitulare,REVIEW
recuno,thanksgiving
recunoștință,gratitude
religiafals,false religion
revela,reveal
rezumat,summary
Romani,Romans
rugăciune,prayer
sadar,sad
scaneaz,scans
scripturi,scriptures
scripturile,SCRIPTURES
sfaturi,tips
siajut,sly
sieva,sister
sirug,string
soț,husband
soție,wife
speran,hope
speranță,hope
stere,stars
stiic,science
stiin,science
stiindc,knowing
stinii,science
stipreg,strong
suferin,suffering
surori,sisters
surorilor,sisters
talui,slope
tamea,Tame
telep,phone
telepciune,wisdom
telepte,wise
teles,Telescopic
tepentru,for you
tiicre,three
tiisale,you are beautiful
tinem,keep
tineriise,young
tioameni,two people
tionat,tion
tiprin,print
tiproverbele,proverbs
tiurm,team
trebuies,must
tucele,the tusks
tumire,tumulus
tumit,fear
umilință,humility
uneori,sometimes
untat,buttered
veiaflacum,came, came
veianalizac,you will analyze
vestitor,publisher
vestitori,publishers
viziona,watch
