en,ro
to pray,a se ruga
circuit assembly,congres de circuit
God's Kingdom,Împărăția lui Dumnezeu
Jehovah's Witnesses,Martorii lui Iehova
Jehovah's Witness,Martorul lui Iehova
ministerial servant,slujitor de slujire
ministerial servants,slujitori de slujire
circuit overseer,supraveghetor de circuit
total attendance,asistență totală
The Book of Joy,Cartea Bucuriei
the good,binele
the righteous,cei drepți
the wicked,cei răi
regional convention,congres regional
special convention,congres special
special conventions,congrese speciale
holy spirit,Duhul Sfânt
Christian family,familie creștină
Jesus Christ,Isus Cristos
the Watchtower,Turnul de Veghe
new names,nume noi
new name,nume nou
Kingdom Hall,Sala Regatului
congregation,congregație
Abraham,Avraam
elder,bătrân
elders,bătrâni
Bethel,Betel
biblical,biblic
the Bible,Biblia
baptism,botez
to baptize,boteza
joy,bucurie
kindness,bunătate
circuit,circuit
Colossians,Coloseni
congregations,congregații
convention,congres
conventions,congrese
children,copii
faith,credință
Christ,Cristos
David,David
Deuteronomy,Deuteronomul
God,Dumnezeu
Ecclesiastes,Eclesiastul
Ephesians,Efeseni
Hebrews,Evrei
Ezekiel,Ezechiel
family,familie
Philippians,Filipeni
brothers,frați
Jacob,Iacov
Jehovah,Iehova
Jeremiah,Ieremia
Kingdom,Împărăția
wisdom,înțelepciune
John,Ioan
Isaiah,Isaia
Jesus,Isus
love,iubești
Luke,Luca
salvation,mântuire
Mark,Marcu
witnesses,martori
Matthew,Matei
Messiah,Mesia
Moses,Moise
preaching,predicam
the preaching,predicarea
preached,predicată
preacher,predicator
Proverbs,Proverbele
Psalm,Psalmul
ransom,răscumpărare
gratitude,recunoștință
Romans,Romani
prayer,rugăciune
Scripture,Scriptura
the Scriptures,Scripturile
scriptures,scripturi
husband,soț
wife,soție
hope,speranță
spiritism,spiritism
sisters,surori
platelets,trombocite
humility,umilință
publisher,vestitor
publishers,vestitori
Watchtower,Wachtturm
true,adevărat
real,adevărații
help,ajută
helped,ajutat
alcohol,alcool
others,alții
certain,anume
article,articol
elderly,bătrânilor
Bible,biblie
a few,câteva
Examine,cercetează
someone,cineva
reading,citirea
Read,cititi
read,citiți
Congregation,congregația
body,corpul
creator,creat
Christians,creștini
you believe,crezi
the word,cuvântul
decisions,decizii
discussion,discutati
Discuss,discutați
example,exemplu
exist,există
each,fiecare
use,folosește
before,înaintea
start,începe
worship,închinare
heart,inimă
means,înseamnă
understand,înțelege
question,întrebări
meetings,întruniri
the meetings,intrunirile
learn,învață
I love,iubesc
Lesson,lecția
lesson,lecție
ministry,lucrarea
things,lucruri
death,morții
many,mulți
need,nevoie
our,noastră
people,oameni
page,pagina
earth,pământ
person,persoană
preach,predică
prepared,pregătit
friend,prieten
friends,prietenii
look,înfățișarea
point,punct
religion,religia
summary,rezumat
blood,sânge
change,schimbă
feel,simți
situations,situații
say,spune
time,timpul
always,mereu
must,trebuie
Wake,treziți
the tower,turnul
see,vedea
view,vedere
watch,veghe
life,viața
Preview,vizionati
watching,vizionați
the help,ajutorul
choose,alege
approve,aprobă
therefore,așadar
listen,ascultă
Wait,așteaptă
Careful,atenție
Babylon,babilonul
man,bărbat
old,batrani
baptize,botezi
enjoy,bucuram
qualities,calități
Chapter,capitolul
book,cărți
marriage,căsătorie
search for,caută
cause,cauza
honest,cinstit
Honor,cinstiți
you read,citești
conscience,conștiința
contain,conține
continue,continuă
content,continui
Christian,creștin
know,cunoaște
Courage,curaj
clean,curați
Decision,decizia
decision,decizie
commit,comiți
demons,demonii
discover,descoperi
become,deveni
dishonor,dezonorează
reveal,dezvaluie
Reveals,dezvăluie
differently,diferite
followers,discipolii
Entertainment,divertismente
prove,dovedi
justice,drept
effect,efect
efforts,eforturi
event,evenimente
we avoid,evitam
Family,familiei
the fact,faptul
woman,femeie
happy,fericită
faithfully,fidel
physical,fizic
we use,folosim
used,folosit
thinks,gândește
thoughts,gânduri
wrong,greșit
care,grijă
illustration,ilustratia
the illustration,ilustrația
illustrations,ilustrațiile
importance,importantă
important,importante
against,împotriva
together,împreună
try,încearcă
trust,încredere
urges,indeamna
indifferent,indiferent
influence,influența
angels,îngeri
happen,întâmplă
we understand,înțelegem
interactive,interactiv
ever,vreodată
ask,întreba
learned,învățat
teachings,învățăturile
you learn,înveți
defeat,învinge
loves,iubește
lessons,lecții
the lessons,lecțiile
the world,lumea
comfort,mângâiere
materials,materiale
physician,medicale
members,membrii
deserve,merită
the message,mesajul
dead,morților
work,muncă
die,murim
nature,natură
neutrality,neutralitatea
neutral,neutri
never,niciodată
nothing,nimic
appointed,numit
notice,observă
eyes,ochii
honor,onoare
origin,originea
sin,păcat
parents,părinții
we keep,păstrăm
allows,permite
persecution,persecuții
like,asemănător
pleasant,plăcut
please,plăcuți
command,porunca
practical,practice
cautious,prevăzător
present,prezent
friendship,prieteni
problems,probleme
promise,promite
power,puterea
stay,rămâi
remain,rămâne
respond,răspunde
answers,răspunsuri
realize,realiza
respect,respectă
We respect,respectam
Please,rugăm
holidays,sarbatori
celebrate,sărbători
slave,sclavul
purpose,scopul
sexually,sexuala
tips,sfaturi
feels,simte
single,singur
the situation,situația
the spirit,spiritul
you study,studiezi
the study,studiul
suffering,suferința
support,susține
father,tatăl
however,totusi
to everyone,tuturor
sometimes,uneori
the following,următoarele
verse,verset
verses,versete
future,viitor
you speak,vorbești
speaking,vorbire
home,acasă
accept,accepta
same,același
of This,acestei
activity,activitate
Other,altele
analyze,analizati
Review,analizați
apply,aplica
almost,aproape
approved,aprobat
harmony,armonie
listened to,ascultat
assist,asista
reached,atins
the money,banii
baptized,botezat
gift,cadou
the way,calea
end,capăt
requirements,cerințele
clear,clară
lead,conduce
contribute,contribui
child,copil
knowledge,cunostinta
soon,curând
cleanse,curată
cleaning,curățenia
the words,cuvintele
dedicated,dedicat
determined,determinat
desire,dorința
right,dreptul
pain,durere
Example,exemplul
existence,existenta
explain,explică
families,familii
happiness,fericirea
fractions,fracțiuni
brother,frate
beautiful,frumoasă
governor,guverneze
decided,hotărât
food,hrană
the idea,ideea
identify,identifica
imagine,imaginează
imitate,imita
immorality,imoralitate
prevent,impiedica
fulfilled,împlinit
test,incercare
guidance,îndrumare
appearance,infatisarea
remove,inlatura
strengthen,întări
wise,înțelept
interrupted,intrerupta
meet,întrunire
resurrected,invia
sacrifice,jertfa
the laws,legile
language,limba
local,locală
place,locul
loyalty,loiali
fight,lupta
the majority,majoritatea
lie,minciună
miracles,miracolele
reason,motiv
birth,naștere
offer,oferi
sins,păcatele
paradise,paradis
opinion,părere
fathers,părinților
participate,participa
Paul,pavel
period,perioada
persevere,persevera
personality,personalitatea
full,plină
possible,posibil
prepare,pregăti
Cherish,pretuieste
cherish,prețuim
the first,primii
first,primul
looks at,priveste
problem,problema
the problems,problemele
progress,progrese
promises,promisiunile
the king,regele
dealings,relatiile
religions,religiile
represents,reprezintă
successful,reușit
role,rolul
the prayers,rugaciunile
prayers,rugăciunile
health,sănătatea
seven,șapte
Holidays,sărbătorile
written,scris
section,secțiunea
safety,siguranță
sense,simtit
serve,slujească
servants,slujitorii
Did you know,știai
knowing,știind
science,stiinta
strive,străduim
close,stransa
study,studia
learning,studiere
suffer,sufera
suffers,suferă
young,tânăr
late,târziu
translation,traducerea
human,umana
seen,văzut
the news,vestii
news,veștii
speak,vorbeasca
speaks,vorbește
